Classe,Marqueur,Type,P(Classe),Freq_Globale,Entropie
Comportementale,critiqué,word,1.0,2.0,-0.0
Comportementale,«,punctuation,0.6666666666666666,3.0,0.9182958340544896
Comportementale,»,punctuation,0.6666666666666666,3.0,0.9182958340544896
Comportementale,inaction,lemma,0.5,2.0,1.0
Comportementale,inaction,word,0.5,2.0,1.0
Comportementale,gouvernements,word,0.5,2.0,1.0
Comportementale,gouvernement,lemma,0.5,2.0,1.0
Comportementale,temps,word,0.5,2.0,1.0
Comportementale,temps,lemma,0.5,2.0,1.0
Comportementale,panique,word,0.5,2.0,1.0
Comportementale,panique,lemma,0.5,2.0,1.0
Comportementale,révolter,lemma,0.5,2.0,1.0
Comportementale,prendre,word,0.3333333333333333,3.0,1.584962500721156
Comportementale,prendre,lemma,0.3333333333333333,3.0,1.584962500721156
Designee,peur,lemma,1.0,5.0,-0.0
Designee,peur,word,1.0,5.0,-0.0
Designee,inquiet,lemma,1.0,5.0,-0.0
Designee,content,lemma,1.0,4.0,-0.0
Designee,inquiétude,lemma,1.0,4.0,-0.0
Designee,contente,word,1.0,3.0,-0.0
Designee,fier,lemma,1.0,3.0,-0.0
Designee,inquiéter,lemma,1.0,3.0,-0.0
Designee,inquiets,word,1.0,3.0,-0.0
Designee,triste,word,1.0,3.0,-0.0
Designee,triste,lemma,1.0,3.0,-0.0
Designee,craindre,lemma,1.0,2.0,-0.0
Designee,fière,word,1.0,2.0,-0.0
Designee,beaucoup,word,1.0,2.0,-0.0
Designee,beaucoup,lemma,1.0,2.0,-0.0
Designee,peu,lemma,1.0,2.0,-0.0
Designee,peu,word,1.0,2.0,-0.0
Designee,inquiétude,word,1.0,2.0,-0.0
Designee,inquiétudes,word,1.0,2.0,-0.0
Designee,inquiète,word,1.0,2.0,-0.0
Montree,!,punctuation,1.0,4.0,-0.0
Montree,',punctuation,0.375,8.0,0.954434002924965
Suggeree,manquer,lemma,1.0,2.0,-0.0
Suggeree,super,word,1.0,2.0,-0.0
Suggeree,super,lemma,1.0,2.0,-0.0
Suggeree,',punctuation,0.625,8.0,0.954434002924965
Suggeree,apparition,word,0.5,2.0,1.0
Suggeree,apparition,lemma,0.5,2.0,1.0
Suggeree,hors,lemma,0.5,2.0,1.0
Suggeree,hors,word,0.5,2.0,1.0
Suggeree,chine,lemma,0.5,2.0,1.0
Suggeree,chine,word,0.5,2.0,1.0
Suggeree,inaction,lemma,0.5,2.0,1.0
Suggeree,inaction,word,0.5,2.0,1.0
Suggeree,foyers,word,0.5,2.0,1.0
Suggeree,foyer,lemma,0.5,2.0,1.0
Suggeree,gouvernements,word,0.5,2.0,1.0
Suggeree,gouvernement,lemma,0.5,2.0,1.0
Suggeree,temps,word,0.5,2.0,1.0
Suggeree,temps,lemma,0.5,2.0,1.0
Suggeree,pourraient,word,0.5,2.0,1.0
Suggeree,épidémiques,word,0.5,2.0,1.0
