marker_value,spacy_count,stanza_count,total_count,in_lexique_emotionnel
peur,262,262,524,True
dangereux,93,134,227,True
colère,92,104,196,True
surprise,82,85,167,True
danger,60,60,120,True
heureux,60,57,117,True
menacer,56,43,99,True
triste,48,48,96,True
plaisir,44,44,88,True
inquiet,57,26,83,True
inquiéter,24,58,82,True
drôle,40,40,80,True
étonnant,38,38,76,True
menace,30,42,72,True
content,34,34,68,True
craindre,24,40,64,True
mécontentement,30,31,61,True
malheur,30,30,60,True
heureusement,28,28,56,True
joie,28,28,56,True
terrible,26,26,52,True
bonheur,24,24,48,True
fier,24,24,48,True
horrible,24,24,48,True
tristesse,20,20,40,True
panique,18,18,36,True
honte,12,20,32,True
inquiétude,16,16,32,True
surprendre,13,18,31,True
étonner,13,18,31,True
marrant,16,14,30,True
surpris,19,11,30,True
fierté,12,14,26,True
surprenant,13,13,26,True
décevoir,7,17,24,True
malheureusement,12,12,24,True
ravi,8,15,23,True
amusant,13,8,21,True
enthousiasme,9,12,21,True
inquiétant,10,11,21,True
effrayant,9,11,20,True
merveilleux,10,10,20,True
méfiance,10,10,20,True
satisfaire,11,9,20,True
scandale,10,10,20,True
effrayer,11,8,19,True
jaloux,12,7,19,True
mécontent,10,9,19,True
admirer,9,9,18,True
angoisse,9,9,18,True
redouter,7,10,17,True
déçu,11,5,16,True
embêtant,8,8,16,True
honneur,8,8,16,True
regretter,8,8,16,True
étonnement,8,8,16,True
cauchemar,7,7,14,True
joyeux,7,7,14,True
menacé,7,7,14,True
peine,7,7,14,True
sympa,7,7,14,True
furieux,7,6,13,True
fâché,6,7,13,True
coupable,6,6,12,True
détresse,6,6,12,True
faute,6,6,12,True
rigolo,7,5,12,True
vexé,6,6,12,True
émerveiller,6,6,12,True
amuser,7,4,11,True
menaçant,4,7,11,True
ravir,9,2,11,True
plaisant,1,9,10,True
préoccupation,5,5,10,True
rire,4,6,10,True
souci,5,5,10,True
tension,5,5,10,True
étonné,5,5,10,True
alarmant,5,4,9,True
angoisser,5,4,9,True
embêter,7,2,9,True
stressé,3,6,9,True
admirable,4,4,8,True
admiration,4,4,8,True
chagrin,4,4,8,True
drame,4,4,8,True
désagréable,4,4,8,True
engouement,4,4,8,True
folâtre,4,4,8,True
humeur,4,4,8,True
immonde,4,4,8,True
indignation,4,4,8,True
misère,4,4,8,True
satisfaction,4,4,8,True
satisfait,3,5,8,True
stress,4,4,8,True
stressant,4,4,8,True
timidement,4,4,8,True
timidité,4,4,8,True
ébahi,4,4,8,True
désespérer,4,3,7,True
malheureux,4,3,7,True
tendu,1,6,7,True
amour,3,3,6,True
dramatique,3,3,6,True
dégoûtant,2,4,6,True
enrager,3,3,6,True
frustrant,2,4,6,True
fâcher,4,2,6,True
paniquer,4,2,6,True
