marker_value,spacy_count,stanza_count
"""",2,2
',21,21
(,4,4
),4,4
",",42,42
-,22,22
.,2,2
abasourdi,2,2
abattus,2,2
aborder,2,2
abusivement,2,2
accablés,2,2
accepter,2,2
accord,2,2
achever,1,1
achevé,1,1
activité,1,1
activités,1,1
actrice,1,2
actuel,2,2
adjuvant,1,1
adjuvants,1,1
admirable,4,4
admirait,2,4
admiratif,1,1
admiratifs,1,1
admiration,4,4
admire,2,1
admirent,2,1
admirer,9,9
admiré,2,1
admirée,1,2
adulte,4,4
adultes,2,2
adversaire,2,2
affligés,1,1
affolé,2,2
affolée,2,4
affreuse,2,4
affront,2,2
afin,2,2
agace,2,2
agacer,2,2
agaçant,2,2
agir,2,2
agressif,2,2
agression,4,4
agroalimentaire,1,1
agroalimentaires,1,1
agréable,6,6
agung,2,2
aient,1,1
air,2,2
aise,12,12
ait,2,2
ajouter,2,2
akhenaton,4,4
alarmant,5,4
alarmante,2,4
alarmantes,1,1
alarmants,1,1
alerte,2,2
alimentaire,2,2
amazonienne,2,4
amour,3,3
amusant,13,8
amusante,3,8
amusantes,2,2
amuse,5,10
amusent,4,4
amuser,7,4
amusé,2,4
amusée,1,2
américain,1,1
américaine,1,1
an,4,4
ancien,2,2
ancêtre,1,1
ancêtres,1,1
angoissantes,1,1
angoisse,9,9
angoisser,5,4
angoisses,2,2
angoissé,2,3
angoissés,1,1
animal,5,5
animaux,3,3
animé,1,2
année,2,2
années,2,2
anonymement,2,2
ans,4,4
antenne,1,1
antennes,1,1
antibiotique,1,1
antibiotiques,1,1
anéanti,2,2
anéantis,2,2
apparition,2,2
appartenaient,1,1
appartenir,1,1
apprendre,2,2
apprécier,2,2
apprécié,2,2
après,2,2
arbre,2,2
argent,4,4
arme,2,2
armstrong,4,4
arrive,1,1
arriver,2,2
arrivé,1,1
arrivée,4,4
arrêtent,1,1
arrêter,1,1
artiste,3,3
artistes,1,1
assez,38,38
athlète,1,1
athlètes,1,1
attaque,1,1
attaquent,2,2
attaquer,2,2
attaques,1,1
attentat,5,5
attentats,1,1
atterrés,2,2
attristant,1,2
attristé,1,2
au-delà,1,1
augmentation,4,4
augmente,1,1
autant,6,6
autoriser,1,1
autorisé,1,1
autour,2,2
avant,10,10
avenir,2,2
avril,2,2
bactérie,1,1
bactéries,1,1
baigner,2,2
banal,2,2
bd,2,2
beau,1,1
beaucoup,36,36
beauté,2,2
beaux,1,1
besoin,3,3
besoins,1,1
bien-être,1,1
blague,4,4
blagues,4,4
blessant,1,1
blessants,1,1
blessent,2,4
blessée,1,1
boire,2,2
bolos,2,1
bon,7,7
bonbon,1,1
bonbons,1,1
bonheur,24,24
bonne,4,4
bonnes,1,1
bouchers-charcutiers,1,1
boudeuse,1,2
brexit,2,2
bâtiment,1,1
bâtiments,1,1
bégayer,2,2
c'est,2,2
calédoniens,1,2
campagne,4,4
cancer,4,4
carburant,6,6
cas,2,2
cauchemar,7,7
cauchemars,1,1
cause,4,4
centrale,2,1
certain,3,4
certaine,2,1
certaines,1,1
chagrin,4,4
challenger,2,2
chambre,2,2
chanceux,2,2
changement,2,2
chapeau,2,2
chercher,2,2
chien,2,2
chimique,1,1
chimiques,1,1
chine,6,6
chinois,4,4
chirac,2,2
choc,8,8
choisie,1,1
choisir,1,1
choquait,2,4
choquant,6,8
choquante,16,18
choquantes,14,14
choquent,1,2
choquer,46,37
choqué,25,25
choquée,3,5
choquées,2,2
choqués,5,5
chose,5,5
choses,5,5
chouette,2,2
citoyen,3,3
citoyens,3,3
civil,1,1
civile,1,1
climatique,4,4
clinton,2,2
coeur,2,2
colonie,2,2
colère,92,104
colérique,2,2
comblé,1,2
comment,2,2
commun,2,2
communique,1,1
complot,2,2
complètement,4,4
comprendre,4,4
concerne,1,1
concerner,1,1
condition,2,2
conditions,2,2
conflit,4,4
consoler,2,2
consterner,1,1
consterné,1,1
consternée,2,2
conséquence,1,1
