marker_value,spacy_count
abattu,2
accabler,2
acteur,1
affliger,1
affoler,2
affreux,2
alarmer,1
amazonien,2
amus,5
angoissante,1
animer,1
atterrer,2
attrister,2
augment,1
bas,1
blesser,3
boucher,1
boudeur,1
calédonien,1
charcutier,1
colèr,12
combler,1
communiqu,1
crain,1
craintif,1
culpabiliser,1
curieux,1
dangereu,36
débouch,1
décontenancer,1
décourager,1
dégeuler,1
dégouteee,1
dégouter,1
dégoûter,3
délic,1
déranger,1
désavantager,1
désespérémer,1
désoler,1
effrai,1
emballer,1
enthousiasm,3
entour,1
entrer,5
exaspérer,1
exciter,2
excus,1
fasciner,2
fass,1
fierter,2
finir,2
fissurer,1
froisser,1
frustrer,3
fâchai,1
gronder,1
hont,8
humaniser,1
humiliant,2
humilier,2
hôtel,1
idol,1
impatient,2
inquiétanter,2
intriguer,2
introduire,1
jong,2
jovial,1
lasser,1
libremer,1
licencier,1
luire,3
marrer,1
montr,1
moquer,1
mécontentemer,1
mécontenter,1
nauséabond,1
oeil,2
party,1
parvenir,1
perd,1
persécuter,2
préoccuper,1
ragoûter,1
redémarrer,1
rend,1
restaurant,1
retenir,1
rir,2
romp,1
royaume,1
rè,1
révolter,1
scandaliser,2
sentirai,1
sou,1
stresser,4
stupéfaire,2
sévir,1
taire,1
tendre,5
terrasser,2
tracass,1
traumatiser,1
troubler,1
tumult,1
uni,1
vex,2
vrombissemer,1
éblouir,1
écroul,1
écœurer,1
électriser,1
émerveillé,1
émettre,1
ému,3
énerv,3
énerver,3
épouvant,1
étonn,5
