marker_value,stanza_count
abattre,2
accablé,2
affligé,1
angoissant,1
atterré,2
augmenter,1
blessé,1
bolo,1
central,1
communiquer,1
contrarier,1
craintife,1
célébrer,1
déboucher,1
découragé,1
dégouté,1
désapprouver,1
désavantagé,1
emballé,1
entourer,1
exaspéré,1
fini,1
française,1
frapper,1
furieur,1
heureur,3
homosexuelle,1
humilié,1
humiliée,1
jalou,5
joli,2
joviale,1
licenciée,1
marrante,3
mener,1
méfiante,1
persécuté,2
potentiel,3
redoutable,1
remord,2
rendre,1
renvoyé,1
revivre,2
rigolot,1
réagir,1
soi,20
suffire,1
terrassé,2
vrai,4
ébloui,1
écrouler,1
émise,1
épouvanter,1
œil,2
