Emotion,Chi2,p-value,dof,Cramers_V,Significative
Admiration,,,,,Non
Autre,7.5377,0.0231,2.0000,0.0982,Oui (p < 0.05)
Colere,55.1250,0.0000,2.0000,0.2657,Oui (p < 0.05)
Culpabilite,6.0001,0.0498,2.0000,0.0877,Oui (p < 0.05)
Degout,51.7835,0.0000,2.0000,0.2575,Oui (p < 0.05)
Embarras,1.6623,0.4355,2.0000,0.0461,Non
Fierte,6.0001,0.0498,2.0000,0.0877,Oui (p < 0.05)
Jalousie,0.8791,0.6443,2.0000,0.0335,Non
Joie,0.9489,0.6222,2.0000,0.0349,Non
Peur,0.8679,0.6480,2.0000,0.0333,Non
Surprise,2.5488,0.2796,2.0000,0.0571,Non
Tristesse,4.4625,0.1074,2.0000,0.0756,Non
