Variable,Chi2,p-value,dof,Cramers_V,Significative
Admiration,,,,,Non
Autre,11.8013,0.1073,7.0000,0.1229,Non
Colere,72.9301,0.0000,7.0000,0.3056,Oui (p < 0.05)
Culpabilite,17.9887,0.0120,7.0000,0.1518,Oui (p < 0.05)
Degout,50.4500,0.0000,7.0000,0.2542,Oui (p < 0.05)
Embarras,1.1513,0.9920,7.0000,0.0384,Non
Fierte,22.5518,0.0020,7.0000,0.1699,Oui (p < 0.05)
Jalousie,7.8436,0.3466,7.0000,0.1002,Non
Joie,7.7787,0.3525,7.0000,0.0998,Non
Peur,1.8963,0.9654,7.0000,0.0493,Non
Surprise,9.8631,0.1965,7.0000,0.1124,Non
Tristesse,14.2648,0.0467,7.0000,0.1351,Oui (p < 0.05)
