Emotion,Chi2,p-value,Cramer_V,Significatif (p < 0.05)
Degout,34.59946998826676,5.613908814968688e-07,0.21047921052769572,Oui
Colere,25.67075195078173,3.686871542979452e-05,0.18129831936009091,Oui
Tristesse,17.70647901378678,0.0014082053005422927,0.15057074095925027,Oui
Autre,15.470178798273718,0.0038190971937356604,0.14074149166248906,Oui
Joie,9.699809150404027,0.04579963185372546,0.11144384247739089,Oui
Jalousie,7.832277949884615,0.09791891764757389,0.10014252295514393,Non
Peur,6.869443639557058,0.14295049037532329,0.09378540655895101,Non
Surprise,4.297811543065221,0.3671992167910458,0.07418193663038596,Non
Fierte,3.956191880268492,0.41196709880377447,0.07117265332731243,Non
Culpabilite,1.996850334936323,0.7363382306149738,0.05056467739866073,Non
Embarras,1.9707988046195342,0.741129949824058,0.05023375326911782,Non
Admiration,0.0,1.0,0.0,Non
