categorical_var,binary_var,chi2,p_value,cramers_v,df,n
HATE,Admiration,,,,,781
HATE,Autre,7.54,0.0231,0.10,2.00,781
HATE,Colere,55.13,0.0000,0.27,2.00,781
HATE,Culpabilite,6.00,0.0498,0.09,2.00,781
HATE,Degout,51.78,0.0000,0.26,2.00,781
HATE,Embarras,1.66,0.4355,0.05,2.00,781
HATE,Fierte,6.00,0.0498,0.09,2.00,781
HATE,Jalousie,0.88,0.6443,0.03,2.00,781
HATE,Joie,0.95,0.6222,0.03,2.00,781
HATE,Peur,0.87,0.6480,0.03,2.00,781
HATE,Surprise,2.55,0.2796,0.06,2.00,781
HATE,Tristesse,4.46,0.1074,0.08,2.00,781
