categorical_var,binary_var,chi2,p_value,cramers_v,df,n
INTENTION,Admiration,,,,,781
INTENTION,Autre,11.80,0.1073,0.12,7.00,781
INTENTION,Colere,72.93,0.0000,0.31,7.00,781
INTENTION,Culpabilite,17.99,0.0120,0.15,7.00,781
INTENTION,Degout,50.45,0.0000,0.25,7.00,781
INTENTION,Embarras,1.15,0.9920,0.04,7.00,781
INTENTION,Fierte,22.55,0.0020,0.17,7.00,781
INTENTION,Jalousie,7.84,0.3466,0.10,7.00,781
INTENTION,Joie,7.78,0.3525,0.10,7.00,781
INTENTION,Peur,1.90,0.9654,0.05,7.00,781
INTENTION,Surprise,9.86,0.1965,0.11,7.00,781
INTENTION,Tristesse,14.26,0.0467,0.14,7.00,781
