categorical_var,binary_var,chi2,p_value,cramers_v,df,n
ROLE,Admiration,,,,,781
ROLE,Autre,15.47,0.0038,0.14,4.00,781
ROLE,Colere,25.67,0.0000,0.18,4.00,781
ROLE,Culpabilite,2.00,0.7363,0.05,4.00,781
ROLE,Degout,34.60,0.0000,0.21,4.00,781
ROLE,Embarras,1.97,0.7411,0.05,4.00,781
ROLE,Fierte,3.96,0.4120,0.07,4.00,781
ROLE,Jalousie,7.83,0.0979,0.10,4.00,781
ROLE,Joie,9.70,0.0458,0.11,4.00,781
ROLE,Peur,6.87,0.1430,0.09,4.00,781
ROLE,Surprise,4.30,0.3672,0.07,4.00,781
ROLE,Tristesse,17.71,0.0014,0.15,4.00,781
