categorical_var,binary_var,chi2,p_value,cramers_v,df,n
VERBAL_ABUSE,Admiration,,,,,520
VERBAL_ABUSE,Autre,6.62,0.1576,0.11,4.00,520
VERBAL_ABUSE,Colere,12.35,0.0149,0.15,4.00,520
VERBAL_ABUSE,Culpabilite,,,,,520
VERBAL_ABUSE,Degout,71.21,0.0000,0.37,4.00,520
VERBAL_ABUSE,Embarras,1.19,0.8790,0.05,4.00,520
VERBAL_ABUSE,Fierte,,,,,520
VERBAL_ABUSE,Jalousie,1.05,0.9022,0.04,4.00,520
VERBAL_ABUSE,Joie,3.66,0.4542,0.08,4.00,520
VERBAL_ABUSE,Peur,3.96,0.4108,0.09,4.00,520
VERBAL_ABUSE,Surprise,3.00,0.5571,0.08,4.00,520
VERBAL_ABUSE,Tristesse,2.05,0.7274,0.06,4.00,520
