col_a,col_b,phi,chi2,p_value,n
CONTEXT_AIN,Admiration,,,,656
CONTEXT_AIN,Autre,-0.03,0.09,0.7692,656
CONTEXT_AIN,Colere,0.03,0.26,0.6075,656
CONTEXT_AIN,Culpabilite,-0.01,0.00,1.0000,656
CONTEXT_AIN,Degout,0.05,0.70,0.4018,656
CONTEXT_AIN,Embarras,-0.01,0.00,1.0000,656
CONTEXT_AIN,Fierte,-0.01,0.00,1.0000,656
CONTEXT_AIN,Jalousie,-0.01,0.00,1.0000,656
CONTEXT_AIN,Joie,0.05,0.56,0.4536,656
CONTEXT_AIN,Peur,0.09,1.04,0.3081,656
CONTEXT_AIN,Surprise,-0.02,0.00,1.0000,656
CONTEXT_AIN,Tristesse,0.04,0.05,0.8248,656
CONTEXT_ATK,Admiration,,,,656
CONTEXT_ATK,Autre,-0.07,2.48,0.1151,656
CONTEXT_ATK,Colere,0.16,16.73,0.0000,656
CONTEXT_ATK,Culpabilite,-0.05,0.22,0.6419,656
CONTEXT_ATK,Degout,-0.04,1.02,0.3133,656
CONTEXT_ATK,Embarras,-0.03,0.00,1.0000,656
CONTEXT_ATK,Fierte,0.04,0.10,0.7551,656
CONTEXT_ATK,Jalousie,0.04,0.10,0.7551,656
CONTEXT_ATK,Joie,-0.05,1.34,0.2477,656
CONTEXT_ATK,Peur,0.01,0.00,1.0000,656
CONTEXT_ATK,Surprise,-0.00,0.00,1.0000,656
CONTEXT_ATK,Tristesse,0.01,0.00,1.0000,656
CONTEXT_CNS,Admiration,,,,656
CONTEXT_CNS,Autre,-0.00,0.00,1.0000,656
CONTEXT_CNS,Colere,-0.03,0.53,0.4654,656
CONTEXT_CNS,Culpabilite,-0.02,0.00,1.0000,656
CONTEXT_CNS,Degout,0.06,1.59,0.2071,656
CONTEXT_CNS,Embarras,-0.01,0.00,1.0000,656
CONTEXT_CNS,Fierte,-0.02,0.00,1.0000,656
CONTEXT_CNS,Jalousie,-0.02,0.00,1.0000,656
CONTEXT_CNS,Joie,0.01,0.00,1.0000,656
CONTEXT_CNS,Peur,-0.02,0.00,1.0000,656
CONTEXT_CNS,Surprise,-0.02,0.00,1.0000,656
CONTEXT_CNS,Tristesse,-0.04,0.12,0.7341,656
CONTEXT_CR,Admiration,,,,656
CONTEXT_CR,Autre,-0.05,0.79,0.3753,656
CONTEXT_CR,Colere,0.02,0.11,0.7423,656
CONTEXT_CR,Culpabilite,0.16,3.72,0.0536,656
CONTEXT_CR,Degout,0.06,1.57,0.2107,656
CONTEXT_CR,Embarras,0.23,8.38,0.0038,656
CONTEXT_CR,Fierte,-0.01,0.00,1.0000,656
CONTEXT_CR,Jalousie,-0.01,0.00,1.0000,656
CONTEXT_CR,Joie,0.06,1.03,0.3096,656
CONTEXT_CR,Peur,-0.01,0.00,1.0000,656
CONTEXT_CR,Surprise,0.09,0.99,0.3188,656
CONTEXT_CR,Tristesse,0.05,0.14,0.7122,656
CONTEXT_DFN,Admiration,,,,656
CONTEXT_DFN,Autre,0.09,5.08,0.0242,656
CONTEXT_DFN,Colere,-0.09,4.71,0.0300,656
CONTEXT_DFN,Culpabilite,-0.04,0.03,0.8659,656
CONTEXT_DFN,Degout,0.04,0.92,0.3383,656
CONTEXT_DFN,Embarras,-0.03,0.00,1.0000,656
CONTEXT_DFN,Fierte,0.00,0.00,1.0000,656
CONTEXT_DFN,Jalousie,0.00,0.00,1.0000,656
CONTEXT_DFN,Joie,0.01,0.00,1.0000,656
CONTEXT_DFN,Peur,-0.05,0.61,0.4331,656
