col_a,col_b,phi,chi2,p_value,cramers_v,n
Admiration,Suggeree,,,,,781
Admiration,Montree,,,,,781
Admiration,Comportementale,,,,,781
Admiration,Designee,,,,,781
Autre,Suggeree,0.11,7.40,0.0065,0.10,781
Autre,Montree,0.23,38.11,0.0000,0.22,781
Autre,Comportementale,0.09,5.29,0.0215,0.08,781
Autre,Designee,0.05,1.22,0.2696,0.04,781
Colere,Suggeree,0.21,32.51,0.0000,0.20,781
Colere,Montree,0.75,438.89,0.0000,0.75,781
Colere,Comportementale,0.22,36.86,0.0000,0.22,781
Colere,Designee,-0.14,13.86,0.0002,0.13,781
Culpabilite,Suggeree,-0.02,0.00,1.0000,0.00,781
Culpabilite,Montree,-0.05,0.60,0.4378,0.03,781
Culpabilite,Comportementale,0.09,1.00,0.3184,0.04,781
Culpabilite,Designee,0.14,8.49,0.0036,0.10,781
Degout,Suggeree,0.07,3.41,0.0649,0.07,781
Degout,Montree,0.33,83.98,0.0000,0.33,781
Degout,Comportementale,0.07,2.51,0.1135,0.06,781
Degout,Designee,0.09,5.04,0.0248,0.08,781
Embarras,Suggeree,-0.01,0.00,1.0000,0.00,781
Embarras,Montree,-0.04,0.15,0.6962,0.01,781
Embarras,Comportementale,0.11,1.90,0.1685,0.05,781
Embarras,Designee,0.18,14.15,0.0002,0.13,781
Fierte,Suggeree,0.06,0.45,0.5047,0.02,781
Fierte,Montree,-0.05,0.60,0.4378,0.03,781
Fierte,Comportementale,-0.01,0.00,1.0000,0.00,781
Fierte,Designee,0.14,8.49,0.0036,0.10,781
Jalousie,Suggeree,-0.02,0.00,1.0000,0.00,781
Jalousie,Montree,-0.07,2.31,0.1283,0.05,781
Jalousie,Comportementale,-0.02,0.00,1.0000,0.00,781
Jalousie,Designee,0.32,66.14,0.0000,0.29,781
Joie,Suggeree,0.08,3.17,0.0750,0.06,781
Joie,Montree,0.03,0.57,0.4493,0.03,781
Joie,Comportementale,-0.01,0.00,1.0000,0.00,781
Joie,Designee,0.36,94.90,0.0000,0.35,781
Peur,Suggeree,0.05,0.19,0.6589,0.02,781
Peur,Montree,0.02,0.00,1.0000,0.00,781
Peur,Comportementale,0.07,0.57,0.4505,0.03,781
Peur,Designee,0.05,0.18,0.6689,0.02,781
Surprise,Suggeree,0.04,0.07,0.7850,0.01,781
Surprise,Montree,0.00,0.00,1.0000,0.00,781
Surprise,Comportementale,-0.02,0.00,1.0000,0.00,781
Surprise,Designee,0.10,4.05,0.0441,0.07,781
Tristesse,Suggeree,0.27,48.22,0.0000,0.25,781
Tristesse,Montree,-0.01,0.00,1.0000,0.00,781
Tristesse,Comportementale,0.02,0.00,1.0000,0.00,781
Tristesse,Designee,0.19,22.64,0.0000,0.17,781
