col_a,col_b,phi,chi2,p_value,cramers_v,n
INTENTION_AIN,Admiration,,,,,781
INTENTION_AIN,Autre,-0.01,0.00,1.00,0.00,781
INTENTION_AIN,Colere,-0.10,7.67,0.01,0.10,781
INTENTION_AIN,Culpabilite,-0.02,0.00,1.00,0.00,781
INTENTION_AIN,Degout,0.16,17.40,0.00,0.15,781
INTENTION_AIN,Embarras,-0.01,0.00,1.00,0.00,781
INTENTION_AIN,Fierte,-0.02,0.00,1.00,0.00,781
INTENTION_AIN,Jalousie,-0.02,0.00,1.00,0.00,781
INTENTION_AIN,Joie,0.02,0.10,0.75,0.01,781
INTENTION_AIN,Peur,-0.02,0.00,1.00,0.00,781
INTENTION_AIN,Surprise,-0.02,0.00,1.00,0.00,781
INTENTION_AIN,Tristesse,0.00,0.00,1.00,0.00,781
INTENTION_ATK,Admiration,,,,,781
INTENTION_ATK,Autre,0.10,7.58,0.01,0.10,781
INTENTION_ATK,Colere,-0.05,1.61,0.20,0.05,781
INTENTION_ATK,Culpabilite,-0.05,0.44,0.51,0.02,781
INTENTION_ATK,Degout,0.14,15.01,0.00,0.14,781
INTENTION_ATK,Embarras,0.02,0.00,1.00,0.00,781
INTENTION_ATK,Fierte,-0.05,0.44,0.51,0.02,781
INTENTION_ATK,Jalousie,-0.06,1.87,0.17,0.05,781
INTENTION_ATK,Joie,0.08,3.90,0.05,0.07,781
INTENTION_ATK,Peur,-0.01,0.00,1.00,0.00,781
INTENTION_ATK,Surprise,0.01,0.00,1.00,0.00,781
INTENTION_ATK,Tristesse,-0.06,1.81,0.18,0.05,781
INTENTION_CNS,Admiration,,,,,781
INTENTION_CNS,Autre,-0.01,0.00,0.97,0.00,781
INTENTION_CNS,Colere,-0.01,0.00,0.96,0.00,781
INTENTION_CNS,Culpabilite,-0.02,0.00,1.00,0.00,781
INTENTION_CNS,Degout,-0.07,2.48,0.12,0.06,781
INTENTION_CNS,Embarras,-0.01,0.00,1.00,0.00,781
INTENTION_CNS,Fierte,0.16,10.85,0.00,0.12,781
INTENTION_CNS,Jalousie,-0.02,0.00,1.00,0.00,781
INTENTION_CNS,Joie,-0.05,0.96,0.33,0.04,781
INTENTION_CNS,Peur,-0.02,0.00,1.00,0.00,781
INTENTION_CNS,Surprise,-0.02,0.00,1.00,0.00,781
INTENTION_CNS,Tristesse,-0.03,0.13,0.72,0.01,781
INTENTION_CR,Admiration,,,,,781
INTENTION_CR,Autre,-0.04,0.42,0.51,0.02,781
INTENTION_CR,Colere,0.05,1.32,0.25,0.04,781
INTENTION_CR,Culpabilite,-0.01,0.00,1.00,0.00,781
INTENTION_CR,Degout,-0.07,2.62,0.11,0.06,781
INTENTION_CR,Embarras,-0.01,0.00,1.00,0.00,781
INTENTION_CR,Fierte,-0.01,0.00,1.00,0.00,781
INTENTION_CR,Jalousie,-0.02,0.00,1.00,0.00,781
INTENTION_CR,Joie,-0.01,0.00,1.00,0.00,781
INTENTION_CR,Peur,-0.01,0.00,1.00,0.00,781
INTENTION_CR,Surprise,-0.02,0.00,1.00,0.00,781
INTENTION_CR,Tristesse,0.02,0.00,1.00,0.00,781
INTENTION_DFN,Admiration,,,,,781
INTENTION_DFN,Autre,-0.03,0.57,0.45,0.03,781
INTENTION_DFN,Colere,0.25,47.17,0.00,0.25,781
INTENTION_DFN,Culpabilite,-0.04,0.23,0.63,0.02,781
INTENTION_DFN,Degout,-0.06,2.31,0.13,0.05,781
INTENTION_DFN,Embarras,0.02,0.00,1.00,0.00,781
INTENTION_DFN,Fierte,-0.04,0.23,0.63,0.02,781
INTENTION_DFN,Jalousie,0.07,2.48,0.12,0.06,781
INTENTION_DFN,Joie,-0.04,0.86,0.36,0.03,781
INTENTION_DFN,Peur,0.03,0.13,0.71,0.01,781
