col_a,col_b,phi,chi2,p_value,cramers_v,n
INTENTION_AIN,Suggeree,0.01,0.00,1.0000,0.00,781
INTENTION_AIN,Montree,-0.06,2.31,0.1284,0.05,781
INTENTION_AIN,Comportementale,0.01,0.00,0.9942,0.00,781
INTENTION_AIN,Designee,0.06,2.21,0.1370,0.05,781
INTENTION_ATK,Suggeree,-0.01,0.01,0.9277,0.00,781
INTENTION_ATK,Montree,0.04,0.86,0.3527,0.03,781
INTENTION_ATK,Comportementale,-0.03,0.53,0.4655,0.03,781
INTENTION_ATK,Designee,0.04,0.96,0.3261,0.04,781
INTENTION_CNS,Suggeree,0.02,0.06,0.8140,0.01,781
INTENTION_CNS,Montree,-0.05,1.43,0.2320,0.04,781
INTENTION_CNS,Comportementale,0.05,1.09,0.2964,0.04,781
INTENTION_CNS,Designee,-0.03,0.16,0.6880,0.01,781
INTENTION_CR,Suggeree,0.05,0.96,0.3271,0.04,781
INTENTION_CR,Montree,0.00,0.00,1.0000,0.00,781
INTENTION_CR,Comportementale,0.02,0.00,0.9505,0.00,781
INTENTION_CR,Designee,-0.00,0.00,1.0000,0.00,781
INTENTION_DFN,Suggeree,-0.01,0.01,0.9346,0.00,781
INTENTION_DFN,Montree,0.21,31.93,0.0000,0.20,781
INTENTION_DFN,Comportementale,0.03,0.56,0.4550,0.03,781
INTENTION_DFN,Designee,-0.07,2.92,0.0874,0.06,781
INTENTION_EMP,Suggeree,0.07,2.54,0.1111,0.06,781
INTENTION_EMP,Montree,-0.11,7.60,0.0058,0.10,781
INTENTION_EMP,Comportementale,-0.04,0.32,0.5718,0.02,781
INTENTION_EMP,Designee,0.01,0.00,1.0000,0.00,781
INTENTION_GSL,Suggeree,-0.00,0.00,1.0000,0.00,781
INTENTION_GSL,Montree,0.05,1.49,0.2215,0.04,781
INTENTION_GSL,Comportementale,-0.03,0.08,0.7748,0.01,781
INTENTION_GSL,Designee,-0.00,0.00,1.0000,0.00,781
INTENTION_OTH,Suggeree,-0.05,1.70,0.1917,0.05,781
INTENTION_OTH,Montree,-0.21,33.37,0.0000,0.21,781
INTENTION_OTH,Comportementale,-0.02,0.10,0.7470,0.01,781
INTENTION_OTH,Designee,0.00,0.00,1.0000,0.00,781
