col_a,col_b,phi,chi2,p_value,cramers_v,n
INTENTION_AIN,VERBAL_ABUSE_BLM,-0.01,0.00,1.0000,0.00,781
INTENTION_AIN,VERBAL_ABUSE_DNG,0.12,9.21,0.0024,0.11,781
INTENTION_AIN,VERBAL_ABUSE_NCG,0.03,0.35,0.5535,0.02,781
INTENTION_AIN,VERBAL_ABUSE_OTH,-0.04,0.76,0.3845,0.03,781
INTENTION_AIN,VERBAL_ABUSE_THR,0.01,0.00,0.9942,0.00,781
INTENTION_ATK,VERBAL_ABUSE_BLM,0.05,0.10,0.7500,0.01,781
INTENTION_ATK,VERBAL_ABUSE_DNG,0.23,38.16,0.0000,0.22,781
INTENTION_ATK,VERBAL_ABUSE_NCG,-0.02,0.16,0.6910,0.01,781
INTENTION_ATK,VERBAL_ABUSE_OTH,0.28,60.25,0.0000,0.28,781
INTENTION_ATK,VERBAL_ABUSE_THR,0.17,21.56,0.0000,0.17,781
INTENTION_CNS,VERBAL_ABUSE_BLM,-0.01,0.00,1.0000,0.00,781
INTENTION_CNS,VERBAL_ABUSE_DNG,-0.09,5.38,0.0203,0.08,781
INTENTION_CNS,VERBAL_ABUSE_NCG,-0.07,3.12,0.0776,0.06,781
INTENTION_CNS,VERBAL_ABUSE_OTH,-0.21,32.42,0.0000,0.20,781
INTENTION_CNS,VERBAL_ABUSE_THR,-0.05,1.33,0.2490,0.04,781
INTENTION_CR,VERBAL_ABUSE_BLM,-0.01,0.00,1.0000,0.00,781
INTENTION_CR,VERBAL_ABUSE_DNG,-0.08,3.31,0.0688,0.07,781
INTENTION_CR,VERBAL_ABUSE_NCG,-0.06,1.81,0.1781,0.05,781
INTENTION_CR,VERBAL_ABUSE_OTH,-0.17,21.38,0.0000,0.17,781
INTENTION_CR,VERBAL_ABUSE_THR,-0.04,0.66,0.4168,0.03,781
INTENTION_DFN,VERBAL_ABUSE_BLM,-0.02,0.00,1.0000,0.00,781
INTENTION_DFN,VERBAL_ABUSE_DNG,-0.06,2.82,0.0931,0.06,781
INTENTION_DFN,VERBAL_ABUSE_NCG,0.16,19.07,0.0000,0.16,781
INTENTION_DFN,VERBAL_ABUSE_OTH,0.18,23.43,0.0000,0.17,781
INTENTION_DFN,VERBAL_ABUSE_THR,-0.05,1.28,0.2586,0.04,781
INTENTION_EMP,VERBAL_ABUSE_BLM,-0.01,0.00,1.0000,0.00,781
INTENTION_EMP,VERBAL_ABUSE_DNG,-0.06,2.18,0.1401,0.05,781
INTENTION_EMP,VERBAL_ABUSE_NCG,-0.02,0.08,0.7824,0.01,781
INTENTION_EMP,VERBAL_ABUSE_OTH,-0.10,6.86,0.0088,0.09,781
INTENTION_EMP,VERBAL_ABUSE_THR,-0.04,0.32,0.5718,0.02,781
INTENTION_GSL,VERBAL_ABUSE_BLM,-0.01,0.00,1.0000,0.00,781
INTENTION_GSL,VERBAL_ABUSE_DNG,-0.05,1.23,0.2684,0.04,781
INTENTION_GSL,VERBAL_ABUSE_NCG,0.02,0.04,0.8460,0.01,781
INTENTION_GSL,VERBAL_ABUSE_OTH,-0.03,0.36,0.5460,0.02,781
INTENTION_GSL,VERBAL_ABUSE_THR,-0.03,0.08,0.7748,0.01,781
INTENTION_OTH,VERBAL_ABUSE_BLM,-0.01,0.00,1.0000,0.00,781
INTENTION_OTH,VERBAL_ABUSE_DNG,-0.15,16.59,0.0000,0.15,781
INTENTION_OTH,VERBAL_ABUSE_NCG,-0.12,10.24,0.0014,0.11,781
INTENTION_OTH,VERBAL_ABUSE_OTH,-0.29,62.71,0.0000,0.28,781
INTENTION_OTH,VERBAL_ABUSE_THR,-0.09,5.15,0.0232,0.08,781
