col_a,col_b,phi,chi2,p_value,n
Suggeree,ROLE_bully,-0.02,0.23,0.6351,781
Suggeree,ROLE_bully_support,-0.00,0.00,1.0000,781
Suggeree,ROLE_conciliator,0.00,0.00,1.0000,781
Suggeree,ROLE_victim,0.01,0.03,0.8530,781
Suggeree,ROLE_victim_support,0.01,0.03,0.8592,781
Montree,ROLE_bully,0.06,2.09,0.1482,781
Montree,ROLE_bully_support,-0.07,3.50,0.0614,781
Montree,ROLE_conciliator,-0.08,4.42,0.0356,781
Montree,ROLE_victim,0.09,6.19,0.0128,781
Montree,ROLE_victim_support,0.04,0.98,0.3216,781
Comportementale,ROLE_bully,0.02,0.04,0.8513,781
Comportementale,ROLE_bully_support,-0.06,1.88,0.1708,781
Comportementale,ROLE_conciliator,0.03,0.31,0.5763,781
Comportementale,ROLE_victim,0.04,0.61,0.4359,781
Comportementale,ROLE_victim_support,-0.00,0.00,1.0000,781
Designee,ROLE_bully,0.02,0.07,0.7844,781
Designee,ROLE_bully_support,0.07,2.82,0.0930,781
Designee,ROLE_conciliator,-0.02,0.27,0.6032,781
Designee,ROLE_victim,-0.03,0.56,0.4529,781
Designee,ROLE_victim_support,-0.04,0.88,0.3489,781
