col_a,col_b,phi,chi2,p_value,cramers_v,n
ROLE_bully,INTENTION_AIN,0.05,1.30,0.2538,0.04,781
ROLE_bully,INTENTION_ATK,0.37,105.90,0.0000,0.37,781
ROLE_bully,INTENTION_CNS,-0.10,6.72,0.0095,0.09,781
ROLE_bully,INTENTION_CR,-0.08,4.20,0.0403,0.07,781
ROLE_bully,INTENTION_DFN,-0.26,51.71,0.0000,0.26,781
ROLE_bully,INTENTION_EMP,-0.07,2.82,0.0933,0.06,781
ROLE_bully,INTENTION_GSL,-0.01,0.00,1.0000,0.00,781
ROLE_bully,INTENTION_OTH,-0.05,1.67,0.1964,0.05,781
ROLE_bully_support,INTENTION_AIN,0.26,51.10,0.0000,0.26,781
ROLE_bully_support,INTENTION_ATK,0.52,209.96,0.0000,0.52,781
ROLE_bully_support,INTENTION_CNS,-0.18,23.22,0.0000,0.17,781
ROLE_bully_support,INTENTION_CR,-0.15,15.22,0.0001,0.14,781
ROLE_bully_support,INTENTION_DFN,-0.46,165.13,0.0000,0.46,781
ROLE_bully_support,INTENTION_EMP,-0.13,10.79,0.0010,0.12,781
ROLE_bully_support,INTENTION_GSL,0.16,18.29,0.0000,0.15,781
ROLE_bully_support,INTENTION_OTH,-0.10,7.58,0.0059,0.10,781
ROLE_conciliator,INTENTION_AIN,-0.14,13.17,0.0003,0.13,781
ROLE_conciliator,INTENTION_ATK,-0.37,102.26,0.0000,0.36,781
ROLE_conciliator,INTENTION_CNS,-0.01,0.04,0.8512,0.01,781
ROLE_conciliator,INTENTION_CR,0.36,95.41,0.0000,0.35,781
ROLE_conciliator,INTENTION_DFN,0.19,28.16,0.0000,0.19,781
ROLE_conciliator,INTENTION_EMP,0.16,17.52,0.0000,0.15,781
ROLE_conciliator,INTENTION_GSL,-0.07,2.90,0.0885,0.06,781
ROLE_conciliator,INTENTION_OTH,0.11,8.08,0.0045,0.10,781
ROLE_victim,INTENTION_AIN,-0.10,6.21,0.0127,0.09,781
ROLE_victim,INTENTION_ATK,-0.26,51.28,0.0000,0.26,781
ROLE_victim,INTENTION_CNS,0.14,13.02,0.0003,0.13,781
ROLE_victim,INTENTION_CR,-0.07,3.01,0.0828,0.06,781
ROLE_victim,INTENTION_DFN,0.28,58.81,0.0000,0.27,781
ROLE_victim,INTENTION_EMP,-0.04,0.53,0.4650,0.03,781
ROLE_victim,INTENTION_GSL,-0.05,1.08,0.2980,0.04,781
ROLE_victim,INTENTION_OTH,0.05,1.57,0.2102,0.04,781
ROLE_victim_support,INTENTION_AIN,-0.14,13.51,0.0002,0.13,781
ROLE_victim_support,INTENTION_ATK,-0.37,104.77,0.0000,0.37,781
ROLE_victim_support,INTENTION_CNS,0.20,29.90,0.0000,0.20,781
ROLE_victim_support,INTENTION_CR,-0.05,1.64,0.2007,0.05,781
ROLE_victim_support,INTENTION_DFN,0.36,99.69,0.0000,0.36,781
ROLE_victim_support,INTENTION_EMP,0.08,4.03,0.0448,0.07,781
ROLE_victim_support,INTENTION_GSL,-0.07,2.99,0.0837,0.06,781
ROLE_victim_support,INTENTION_OTH,0.02,0.19,0.6667,0.02,781
