col_a,col_b,phi,chi2,p_value,n_a,n_b,n_intersect
ROLE_bully,Suggeree,-0.02,0.23,0.6351,111,54,6
ROLE_bully,Montree,0.06,2.09,0.1482,111,300,50
ROLE_bully,Comportementale,0.02,0.04,0.8513,111,36,6
ROLE_bully,Designee,0.02,0.07,0.7844,111,55,9
ROLE_bully_support,Suggeree,-0.00,0.00,1.0000,267,54,18
ROLE_bully_support,Montree,-0.07,3.50,0.0614,267,300,90
ROLE_bully_support,Comportementale,-0.06,1.88,0.1708,267,36,8
ROLE_bully_support,Designee,0.07,2.82,0.0930,267,55,25
ROLE_conciliator,Suggeree,0.00,0.00,1.0000,156,54,11
ROLE_conciliator,Montree,-0.08,4.42,0.0356,156,300,48
ROLE_conciliator,Comportementale,0.03,0.31,0.5763,156,36,9
ROLE_conciliator,Designee,-0.02,0.27,0.6032,156,55,9
ROLE_victim,Suggeree,0.01,0.03,0.8530,88,54,7
ROLE_victim,Montree,0.09,6.19,0.0128,88,300,45
ROLE_victim,Comportementale,0.04,0.61,0.4359,88,36,6
ROLE_victim,Designee,-0.03,0.56,0.4529,88,55,4
ROLE_victim_support,Suggeree,0.01,0.03,0.8592,159,54,12
ROLE_victim_support,Montree,0.04,0.98,0.3216,159,300,67
ROLE_victim_support,Comportementale,-0.00,0.00,1.0000,159,36,7
ROLE_victim_support,Designee,-0.04,0.88,0.3489,159,55,8
