col_a,col_b,phi,chi2,p_value,cramers_v,n
VERBAL_ABUSE_BLM,Admiration,,,,,781
VERBAL_ABUSE_BLM,Autre,-0.01,0.00,1.0000,0.00,781
VERBAL_ABUSE_BLM,Colere,-0.03,0.00,1.0000,0.00,781
VERBAL_ABUSE_BLM,Culpabilite,-0.00,0.00,1.0000,0.00,781
VERBAL_ABUSE_BLM,Degout,-0.01,0.00,1.0000,0.00,781
VERBAL_ABUSE_BLM,Embarras,-0.00,0.00,1.0000,0.00,781
VERBAL_ABUSE_BLM,Fierte,-0.00,0.00,1.0000,0.00,781
VERBAL_ABUSE_BLM,Jalousie,-0.00,0.00,1.0000,0.00,781
VERBAL_ABUSE_BLM,Joie,-0.01,0.00,1.0000,0.00,781
VERBAL_ABUSE_BLM,Peur,-0.00,0.00,1.0000,0.00,781
VERBAL_ABUSE_BLM,Surprise,-0.00,0.00,1.0000,0.00,781
VERBAL_ABUSE_BLM,Tristesse,-0.00,0.00,1.0000,0.00,781
VERBAL_ABUSE_DNG,Admiration,,,,,781
VERBAL_ABUSE_DNG,Autre,0.11,8.20,0.0042,0.10,781
VERBAL_ABUSE_DNG,Colere,-0.07,3.56,0.0592,0.07,781
VERBAL_ABUSE_DNG,Culpabilite,-0.02,0.00,1.0000,0.00,781
VERBAL_ABUSE_DNG,Degout,0.33,81.37,0.0000,0.32,781
VERBAL_ABUSE_DNG,Embarras,-0.02,0.00,1.0000,0.00,781
VERBAL_ABUSE_DNG,Fierte,-0.02,0.00,1.0000,0.00,781
VERBAL_ABUSE_DNG,Jalousie,0.01,0.00,1.0000,0.00,781
VERBAL_ABUSE_DNG,Joie,0.03,0.26,0.6109,0.02,781
VERBAL_ABUSE_DNG,Peur,-0.03,0.00,1.0000,0.00,781
VERBAL_ABUSE_DNG,Surprise,-0.03,0.02,0.8884,0.01,781
VERBAL_ABUSE_DNG,Tristesse,-0.05,0.96,0.3260,0.04,781
VERBAL_ABUSE_NCG,Admiration,,,,,781
VERBAL_ABUSE_NCG,Autre,0.03,0.53,0.4663,0.03,781
VERBAL_ABUSE_NCG,Colere,0.08,4.97,0.0259,0.08,781
VERBAL_ABUSE_NCG,Culpabilite,-0.02,0.00,1.0000,0.00,781
VERBAL_ABUSE_NCG,Degout,0.19,27.25,0.0000,0.19,781
VERBAL_ABUSE_NCG,Embarras,-0.02,0.00,1.0000,0.00,781
VERBAL_ABUSE_NCG,Fierte,-0.02,0.00,1.0000,0.00,781
VERBAL_ABUSE_NCG,Jalousie,0.03,0.00,0.9808,0.00,781
VERBAL_ABUSE_NCG,Joie,-0.06,1.72,0.1893,0.05,781
VERBAL_ABUSE_NCG,Peur,-0.02,0.00,1.0000,0.00,781
VERBAL_ABUSE_NCG,Surprise,-0.02,0.00,1.0000,0.00,781
VERBAL_ABUSE_NCG,Tristesse,-0.00,0.00,1.0000,0.00,781
VERBAL_ABUSE_OTH,Admiration,,,,,781
VERBAL_ABUSE_OTH,Autre,-0.02,0.14,0.7111,0.01,781
VERBAL_ABUSE_OTH,Colere,0.15,17.54,0.0000,0.15,781
VERBAL_ABUSE_OTH,Culpabilite,-0.05,0.78,0.3776,0.03,781
VERBAL_ABUSE_OTH,Degout,-0.09,5.61,0.0179,0.08,781
VERBAL_ABUSE_OTH,Embarras,0.06,0.91,0.3396,0.03,781
VERBAL_ABUSE_OTH,Fierte,-0.05,0.78,0.3776,0.03,781
VERBAL_ABUSE_OTH,Jalousie,-0.02,0.00,0.9970,0.00,781
VERBAL_ABUSE_OTH,Joie,0.05,1.26,0.2609,0.04,781
VERBAL_ABUSE_OTH,Peur,0.01,0.00,1.0000,0.00,781
VERBAL_ABUSE_OTH,Surprise,0.09,4.82,0.0281,0.08,781
VERBAL_ABUSE_OTH,Tristesse,-0.02,0.04,0.8509,0.01,781
VERBAL_ABUSE_THR,Admiration,,,,,781
VERBAL_ABUSE_THR,Autre,0.03,0.16,0.6852,0.01,781
VERBAL_ABUSE_THR,Colere,0.03,0.59,0.4413,0.03,781
VERBAL_ABUSE_THR,Culpabilite,-0.01,0.00,1.0000,0.00,781
VERBAL_ABUSE_THR,Degout,-0.07,3.22,0.0728,0.06,781
VERBAL_ABUSE_THR,Embarras,-0.01,0.00,1.0000,0.00,781
VERBAL_ABUSE_THR,Fierte,-0.01,0.00,1.0000,0.00,781
VERBAL_ABUSE_THR,Jalousie,-0.02,0.00,1.0000,0.00,781
VERBAL_ABUSE_THR,Joie,-0.01,0.00,1.0000,0.00,781
VERBAL_ABUSE_THR,Peur,0.07,0.57,0.4505,0.03,781
VERBAL_ABUSE_THR,Surprise,-0.02,0.00,1.0000,0.00,781
VERBAL_ABUSE_THR,Tristesse,-0.03,0.03,0.8517,0.01,781
