col_a,col_b,phi,chi2,p_value,cramers_v,n
VERBAL_ABUSE_BLM,Suggeree,-0.01,0.00,1.0000,0.00,781
VERBAL_ABUSE_BLM,Montree,-0.03,0.00,1.0000,0.00,781
VERBAL_ABUSE_BLM,Comportementale,-0.01,0.00,1.0000,0.00,781
VERBAL_ABUSE_BLM,Designee,-0.01,0.00,1.0000,0.00,781
VERBAL_ABUSE_DNG,Suggeree,-0.04,0.75,0.3861,0.03,781
VERBAL_ABUSE_DNG,Montree,0.08,4.51,0.0337,0.08,781
VERBAL_ABUSE_DNG,Comportementale,-0.04,0.92,0.3364,0.03,781
VERBAL_ABUSE_DNG,Designee,0.08,4.40,0.0359,0.08,781
VERBAL_ABUSE_NCG,Suggeree,-0.03,0.20,0.6575,0.02,781
VERBAL_ABUSE_NCG,Montree,0.16,19.39,0.0000,0.16,781
VERBAL_ABUSE_NCG,Comportementale,-0.07,2.27,0.1320,0.05,781
VERBAL_ABUSE_NCG,Designee,-0.06,2.27,0.1315,0.05,781
VERBAL_ABUSE_OTH,Suggeree,0.00,0.00,1.0000,0.00,781
VERBAL_ABUSE_OTH,Montree,0.12,10.07,0.0015,0.11,781
VERBAL_ABUSE_OTH,Comportementale,-0.01,0.03,0.8553,0.01,781
VERBAL_ABUSE_OTH,Designee,0.03,0.52,0.4709,0.03,781
VERBAL_ABUSE_THR,Suggeree,0.06,1.83,0.1762,0.05,781
VERBAL_ABUSE_THR,Montree,-0.02,0.22,0.6412,0.02,781
VERBAL_ABUSE_THR,Comportementale,0.13,9.77,0.0018,0.11,781
VERBAL_ABUSE_THR,Designee,-0.06,1.84,0.1747,0.05,781
