backend,lemma,n_surface_forms,surface_forms,total_count,dominant_surface,dominant_surface_share,dominant_emotion,dominant_emotion_share,emotion_entropy,n_forms_with_different_emotion
spacy,peur,1,peur,131,peur,1.0,Peur,0.9924,0.0647,0
spacy,manifestation,2,"manifestations, manifestation",70,manifestations,0.9,Colère,0.9714,0.1872,0
spacy,accuser,7,"accusé, accusent, accusés, accusée, accusait, accusant, accuser",67,accusé,0.3433,Colère,0.9565,0.2979,0
spacy,menacer,8,"menace, menacé, menacer, menacent, menacés, menaçait, menaçant, menacée",64,menace,0.3281,Peur,0.8806,0.5276,0
spacy,dangereu,1,dangereux,56,dangereux,1.0,Peur,1.0,-0.0,0
spacy,inquiet,3,"inquiète, inquiets, inquiet",55,inquiète,0.6364,Peur,0.9464,0.3014,0
spacy,critiquer,5,"critiqué, critiquée, critiquent, critiquer, critiqués",54,critiqué,0.3333,Colère,1.0,-0.0,0
spacy,colèr,1,colère,53,colère,1.0,Colère,1.0,-0.0,0
spacy,fuir,3,"fuir, fuient, fui",52,fuir,0.4231,Peur,0.9615,0.2352,0
spacy,drôle,2,"drôle, drôles",47,drôle,0.8936,Surprise,0.5532,1.3148,0
spacy,gros,2,"gros, grosse",44,gros,0.6364,Colère,0.4773,1.5492,1
spacy,choquer,4,"choqué, choqués, choquant, choquée",43,choqué,0.6977,Surprise,0.5,1.6617,1
spacy,surprise,1,surprise,41,surprise,1.0,Surprise,0.9268,0.4448,0
spacy,pleurer,4,"pleurer, pleuré, pleure, pleurant",40,pleurer,0.475,Tristesse,0.7111,1.1245,1
spacy,bon,2,"bon, bonne",39,bon,0.641,Joie,0.6512,1.7293,0
spacy,guerre,2,"guerre, guerres",37,guerre,0.9189,Peur,0.6486,1.273,1
spacy,victime,2,"victime, victimes",36,victime,0.5556,Tristesse,0.4167,1.8071,1
spacy,réclamer,5,"réclamer, réclament, réclamait, réclamaient, réclamé",36,réclamer,0.3889,Colère,1.0,-0.0,0
spacy,grave,2,"grave, graves",36,grave,0.8056,Peur,0.3611,1.8307,1
spacy,heureux,3,"heureux, heureuse, heureuses",35,heureux,0.7714,Joie,1.0,-0.0,0
spacy,rien,1,rien,34,rien,1.0,Colère,0.4706,2.1565,0
spacy,danger,1,danger,33,danger,1.0,Peur,1.0,-0.0,0
spacy,hommage,1,hommage,31,hommage,1.0,Tristesse,0.5152,0.9993,0
spacy,content,3,"contents, contente, content",30,contents,0.5333,Joie,1.0,-0.0,0
spacy,fête,1,fête,30,fête,1.0,Joie,1.0,-0.0,0
spacy,juste,1,juste,29,juste,1.0,Colère,0.5172,1.6894,0
spacy,remporter,4,"remporté, remporter, remporte, remportée",29,remporté,0.3793,Joie,0.6207,1.4542,0
spacy,triste,2,"triste, tristes",29,triste,0.7586,Tristesse,0.9655,0.2164,0
spacy,jamais,1,jamais,29,jamais,1.0,Tristesse,0.3448,2.5999,0
spacy,vie,1,vie,28,vie,1.0,Joie,0.3929,1.8064,0
spacy,gagner,3,"gagné, gagnera, gagnent",28,gagné,0.7143,Joie,0.5806,1.3054,1
spacy,mort,3,"mort, morts, mortes",28,mort,0.6071,Tristesse,0.4643,2.1017,1
spacy,tuer,3,"tué, tués, tuer",27,tué,0.4444,Peur,0.3667,1.7311,2
spacy,violence,2,"violences, violence",27,violences,0.5556,Peur,0.5556,1.3992,0
spacy,difficile,2,"difficile, difficiles",27,difficile,0.6296,Tristesse,0.5185,2.0265,1
spacy,protester,3,"protester, protesté, protestent",27,protester,0.6667,Colère,0.931,0.431,0
spacy,assez,1,assez,26,assez,1.0,Colère,0.7692,0.9294,0
spacy,plaisir,1,plaisir,26,plaisir,1.0,Joie,1.0,-0.0,0
