marker_value,marker_type,Colère,Dégoût,Joie,Peur,Surprise,Tristesse,Admiration,Culpabilité,Embarras,Fierté,Jalousie,total_count,P(Colère),P(Dégoût),P(Joie),P(Peur),P(Surprise),P(Tristesse),P(Admiration),P(Culpabilité),P(Embarras),P(Fierté),P(Jalousie),entropy,normalized_entropy
vu,word,1.0,1.0,1.0,3.0,3.0,1.0,2.0,0.0,1.0,1.0,0.0,14.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.21428571428571427,0.07142857142857142,0.14285714285714285,0.0,0.07142857142857142,0.07142857142857142,0.0,2.9852281360342516,0.862924452662013
j,word,5.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,18.0,0.2777777777777778,0.0,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.0,2.969389419529156,0.8583460368263693
comme,lemma,24.0,5.0,10.0,7.0,8.0,6.0,6.0,0.0,3.0,7.0,1.0,77.0,0.3116883116883117,0.06493506493506493,0.12987012987012986,0.09090909090909091,0.1038961038961039,0.07792207792207792,0.07792207792207792,0.0,0.03896103896103896,0.09090909090909091,0.012987012987012988,2.9687939710813693,0.8581739136242286
comme,word,24.0,5.0,10.0,7.0,8.0,6.0,6.0,0.0,3.0,7.0,1.0,77.0,0.3116883116883117,0.06493506493506493,0.12987012987012986,0.09090909090909091,0.1038961038961039,0.07792207792207792,0.07792207792207792,0.0,0.03896103896103896,0.09090909090909091,0.012987012987012988,2.9687939710813693,0.8581739136242286
.,punctuation,19.0,3.0,16.0,13.0,6.0,19.0,2.0,2.0,6.0,6.0,0.0,92.0,0.20652173913043478,0.03260869565217391,0.17391304347826086,0.14130434782608695,0.06521739130434782,0.20652173913043478,0.021739130434782608,0.021739130434782608,0.06521739130434782,0.06521739130434782,0.0,2.949527452124027,0.8526046406680741
était,word,13.0,1.0,9.0,8.0,7.0,10.0,4.0,0.0,4.0,3.0,0.0,59.0,0.22033898305084745,0.01694915254237288,0.15254237288135594,0.13559322033898305,0.11864406779661017,0.1694915254237288,0.06779661016949153,0.0,0.06779661016949153,0.05084745762711865,0.0,2.929071960306666,0.8466916774786417
voir,lemma,16.0,4.0,12.0,7.0,6.0,5.0,4.0,0.0,1.0,6.0,0.0,61.0,0.26229508196721313,0.06557377049180328,0.19672131147540983,0.11475409836065574,0.09836065573770492,0.08196721311475409,0.06557377049180328,0.0,0.01639344262295082,0.09836065573770492,0.0,2.8930287318883323,0.8362728479159601
réussir,lemma,1.0,0.0,6.0,3.0,1.0,3.0,1.0,2.0,2.0,5.0,0.0,24.0,0.041666666666666664,0.0,0.25,0.125,0.041666666666666664,0.125,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.20833333333333334,0.0,2.892079563925711,0.8359984768436984
a,word,105.0,14.0,85.0,63.0,51.0,57.0,17.0,0.0,15.0,39.0,0.0,446.0,0.23542600896860988,0.03139013452914798,0.1905829596412556,0.1412556053811659,0.11434977578475336,0.12780269058295965,0.03811659192825112,0.0,0.033632286995515695,0.08744394618834081,0.0,2.8913596532052903,0.8357903759763357
sur,word,22.0,1.0,16.0,30.0,8.0,12.0,5.0,2.0,7.0,7.0,0.0,110.0,0.2,0.00909090909090909,0.14545454545454545,0.2727272727272727,0.07272727272727272,0.10909090909090909,0.045454545454545456,0.01818181818181818,0.06363636363636363,0.06363636363636363,0.0,2.8791199601594486,0.8322523112318552
sur,lemma,22.0,1.0,17.0,30.0,8.0,12.0,5.0,2.0,7.0,7.0,0.0,111.0,0.1981981981981982,0.009009009009009009,0.15315315315315314,0.2702702702702703,0.07207207207207207,0.10810810810810811,0.04504504504504504,0.018018018018018018,0.06306306306306306,0.06306306306306306,0.0,2.877900180121016,0.8318997157268996
une,word,82.0,3.0,74.0,82.0,62.0,49.0,17.0,2.0,12.0,33.0,1.0,417.0,0.19664268585131894,0.007194244604316547,0.1774580335731415,0.19664268585131894,0.1486810551558753,0.11750599520383694,0.0407673860911271,0.004796163069544364,0.02877697841726619,0.07913669064748201,0.002398081534772182,2.8714207361054753,0.8300267363679109
ses,word,20.0,1.0,15.0,11.0,5.0,11.0,3.0,1.0,3.0,7.0,0.0,77.0,0.2597402597402597,0.012987012987012988,0.19480519480519481,0.14285714285714285,0.06493506493506493,0.14285714285714285,0.03896103896103896,0.012987012987012988,0.03896103896103896,0.09090909090909091,0.0,2.865223990369414,0.8282354751379802
ai,word,10.0,0.0,10.0,12.0,5.0,13.0,2.0,2.0,2.0,4.0,0.0,60.0,0.16666666666666666,0.0,0.16666666666666666,0.2,0.08333333333333333,0.21666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.0,2.8539994503306496,0.8249908554211767
un,word,82.0,5.0,90.0,100.0,62.0,49.0,31.0,1.0,9.0,32.0,0.0,461.0,0.17787418655097614,0.010845986984815618,0.19522776572668113,0.21691973969631237,0.13449023861171366,0.10629067245119306,0.06724511930585683,0.0021691973969631237,0.019522776572668113,0.06941431670281996,0.0,2.8443460060673678,0.8222003842318416
il,word,28.0,5.0,31.0,46.0,18.0,26.0,8.0,0.0,2.0,11.0,1.0,176.0,0.1590909090909091,0.028409090909090908,0.17613636363636365,0.26136363636363635,0.10227272727272728,0.14772727272727273,0.045454545454545456,0.0,0.011363636363636364,0.0625,0.005681818181818182,2.8275944345730597,0.8173580941272878
elle,word,20.0,2.0,12.0,11.0,7.0,12.0,5.0,0.0,2.0,3.0,0.0,74.0,0.2702702702702703,0.02702702702702703,0.16216216216216217,0.14864864864864866,0.0945945945945946,0.16216216216216217,0.06756756756756757,0.0,0.02702702702702703,0.04054054054054054,0.0,2.823677390614507,0.8162258144957293
tout,lemma,36.0,5.0,37.0,28.0,16.0,27.0,3.0,0.0,4.0,16.0,0.0,172.0,0.20930232558139536,0.029069767441860465,0.21511627906976744,0.16279069767441862,0.09302325581395349,0.1569767441860465,0.01744186046511628,0.0,0.023255813953488372,0.09302325581395349,0.0,2.8087095050926725,0.8118991252670141
arriver,lemma,3.0,0.0,2.0,2.0,5.0,4.0,2.0,0.0,1.0,1.0,0.0,20.0,0.15,0.0,0.1,0.1,0.25,0.2,0.1,0.0,0.05,0.05,0.0,2.803701696057349,0.8104515438179851
",",punctuation,105.0,8.0,62.0,107.0,54.0,64.0,27.0,0.0,8.0,27.0,0.0,462.0,0.22727272727272727,0.017316017316017316,0.1341991341991342,0.23160173160173161,0.11688311688311688,0.13852813852813853,0.05844155844155844,0.0,0.017316017316017316,0.05844155844155844,0.0,2.801920538434442,0.8099366737990747
lui,lemma,28.0,2.0,15.0,27.0,7.0,17.0,5.0,1.0,5.0,4.0,0.0,111.0,0.25225225225225223,0.018018018018018018,0.13513513513513514,0.24324324324324326,0.06306306306306306,0.15315315315315314,0.04504504504504504,0.009009009009009009,0.04504504504504504,0.036036036036036036,0.0,2.7948762896412145,0.8079004292451205
quelque,lemma,6.0,1.0,7.0,4.0,2.0,5.0,0.0,0.0,3.0,2.0,0.0,30.0,0.2,0.03333333333333333,0.23333333333333334,0.13333333333333333,0.06666666666666667,0.16666666666666666,0.0,0.0,0.1,0.06666666666666667,0.0,2.7893643477641703,0.8063071207237584
taire,lemma,9.0,2.0,3.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,24.0,0.375,0.08333333333333333,0.125,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.041666666666666664,0.0,0.041666666666666664,0.08333333333333333,0.0,2.7814536459234778,0.804020415070126
