Classe,Marqueur,Type,P(Classe),Freq_Globale,Entropie
Colère,critiquer,lemma,1.0,55,-0.0
Colère,colère,word,1.0,54,-0.0
Colère,colère,lemma,1.0,42,-0.0
Colère,réclamer,lemma,1.0,40,-0.0
Colère,manifester,lemma,1.0,35,-0.0
Colère,grève,word,1.0,35,-0.0
Colère,grève,lemma,1.0,27,-0.0
Colère,dénoncer,lemma,1.0,26,-0.0
Colère,tg,lemma,1.0,22,-0.0
Colère,tg,word,1.0,22,-0.0
Colère,critiqué,word,1.0,19,-0.0
Colère,protester,word,1.0,18,-0.0
Colère,manifesté,word,1.0,16,-0.0
Colère,mécontentement,lemma,1.0,16,-0.0
Colère,manifester,word,1.0,15,-0.0
Colère,manifestent,word,1.0,15,-0.0
Colère,manifestent,lemma,1.0,15,-0.0
Colère,réclamer,word,1.0,15,-0.0
Colère,reprocher,lemma,1.0,15,-0.0
Colère,injustice,lemma,1.0,15,-0.0
Dégoût,degouter,lemma,1.0,4,-0.0
Dégoût,dégoûter,lemma,1.0,3,-0.0
Dégoût,arabe,lemma,0.75,4,0.81
Dégoût,odeur,lemma,0.75,4,0.81
Dégoût,crasseuse,word,0.71,7,0.86
Dégoût,porc,lemma,0.67,9,1.22
Dégoût,porc,word,0.67,9,1.22
Dégoût,crasseuse,lemma,0.67,6,0.92
Dégoût,chienne,word,0.67,3,0.92
Dégoût,chienne,lemma,0.67,3,0.92
Dégoût,arabe,word,0.67,3,0.92
Dégoût,graisse,word,0.67,3,0.92
Dégoût,graisse,lemma,0.67,3,0.92
Dégoût,lesbiennes,word,0.67,3,0.92
Dégoût,cu,word,0.67,3,0.92
Dégoût,cu,lemma,0.67,3,0.92
Dégoût,crasseux,lemma,0.67,3,0.92
Dégoût,gouine,lemma,0.5,6,1.0
Dégoût,gouine,word,0.5,6,1.0
Dégoût,merd,lemma,0.5,4,1.0
Joie,heureux,lemma,1.0,36,-0.0
Joie,fête,lemma,1.0,32,-0.0
Joie,fête,word,1.0,30,-0.0
Joie,content,lemma,1.0,30,-0.0
Joie,heureux,word,1.0,27,-0.0
Joie,amuser,lemma,1.0,21,-0.0
Joie,joie,word,1.0,18,-0.0
Joie,joie,lemma,1.0,18,-0.0
Joie,heureusement,word,1.0,17,-0.0
Joie,heureusement,lemma,1.0,17,-0.0
Joie,contents,word,1.0,16,-0.0
Joie,bonheur,lemma,1.0,14,-0.0
Joie,bonheur,word,1.0,14,-0.0
Joie,amuser,word,1.0,12,-0.0
Joie,amuse,word,1.0,12,-0.0
Joie,amus,lemma,1.0,11,-0.0
