marker_value,marker_type,Comportementale,Designee,Montree,Suggeree,total_count,P(Comportementale),P(Designee),P(Montree),P(Suggeree),entropy,normalized_entropy
devoir,lemma,2.0,2.0,2.0,1.0,7.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,1.950212064914747,0.9751060324573735
place,word,2.0,1.0,2.0,2.0,7.0,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.2857142857142857,1.9502120649147465,0.9751060324573733
place,lemma,2.0,1.0,2.0,2.0,7.0,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.2857142857142857,1.9502120649147465,0.9751060324573733
tkt,lemma,1.0,1.0,1.0,2.0,5.0,0.2,0.2,0.2,0.4,1.9219280948873623,0.9609640474436811
tkt,word,1.0,1.0,1.0,2.0,5.0,0.2,0.2,0.2,0.4,1.9219280948873623,0.9609640474436811
casser,word,1.0,2.0,1.0,2.0,6.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,1.9182958340544896,0.9591479170272448
arabe,lemma,2.0,1.0,3.0,2.0,8.0,0.25,0.125,0.375,0.25,1.9056390622295665,0.9528195311147832
gens,word,2.0,2.0,5.0,3.0,12.0,0.16666666666666666,0.16666666666666666,0.4166666666666667,0.25,1.8879185026711327,0.9439592513355664
gens,lemma,2.0,2.0,5.0,3.0,12.0,0.16666666666666666,0.16666666666666666,0.4166666666666667,0.25,1.8879185026711327,0.9439592513355664
religion,word,3.0,2.0,5.0,2.0,12.0,0.25,0.16666666666666666,0.4166666666666667,0.16666666666666666,1.8879185026711325,0.9439592513355662
photos,word,3.0,2.0,6.0,5.0,16.0,0.1875,0.125,0.375,0.3125,1.882856063692049,0.9414280318460245
sa,word,10.0,10.0,26.0,13.0,59.0,0.1694915254237288,0.1694915254237288,0.4406779661016949,0.22033898305084745,1.869834389950827,0.9349171949754135
elle,word,3.0,8.0,12.0,8.0,31.0,0.0967741935483871,0.25806451612903225,0.3870967741935484,0.25806451612903225,1.864698326166961,0.9323491630834805
va,word,15.0,4.0,14.0,8.0,41.0,0.36585365853658536,0.0975609756097561,0.34146341463414637,0.1951219512195122,1.8476415694245656,0.9238207847122828
photo,lemma,3.0,2.0,7.0,6.0,18.0,0.16666666666666666,0.1111111111111111,0.3888888888888889,0.3333333333333333,1.8412501702815547,0.9206250851407773
voir,word,3.0,2.0,6.0,2.0,13.0,0.23076923076923078,0.15384615384615385,0.46153846153846156,0.15384615384615385,1.8339272176418302,0.9169636088209151
quand,lemma,4.0,3.0,5.0,1.0,13.0,0.3076923076923077,0.23076923076923078,0.38461538461538464,0.07692307692307693,1.8262452584026092,0.9131226292013046
quand,word,4.0,3.0,5.0,1.0,13.0,0.3076923076923077,0.23076923076923078,0.38461538461538464,0.07692307692307693,1.8262452584026092,0.9131226292013046
se,lemma,5.0,1.0,4.0,5.0,15.0,0.3333333333333333,0.06666666666666667,0.26666666666666666,0.3333333333333333,1.8256051990169437,0.9128025995084719
se,word,5.0,1.0,4.0,5.0,15.0,0.3333333333333333,0.06666666666666667,0.26666666666666666,0.3333333333333333,1.8256051990169437,0.9128025995084719
lui,lemma,3.0,10.0,16.0,10.0,39.0,0.07692307692307693,0.2564102564102564,0.41025641025641024,0.2564102564102564,1.818903516300435,0.9094517581502175
faites,word,3.0,1.0,3.0,1.0,8.0,0.375,0.125,0.375,0.125,1.811278124459133,0.9056390622295665
bande,lemma,2.0,4.0,7.0,2.0,15.0,0.13333333333333333,0.26666666666666666,0.4666666666666667,0.13333333333333333,1.7967916319816364,0.8983958159908182
meme,word,3.0,3.0,11.0,7.0,24.0,0.125,0.125,0.4583333333333333,0.2916666666666667,1.7843371980653047,0.8921685990326523
laisse,word,1.0,2.0,5.0,4.0,12.0,0.08333333333333333,0.16666666666666666,0.4166666666666667,0.3333333333333333,1.7841591278514217,0.8920795639257109
religion,lemma,3.0,2.0,7.0,2.0,14.0,0.21428571428571427,0.14285714285714285,0.5,0.14285714285714285,1.7783283537314114,0.8891641768657057
aller,lemma,25.0,6.0,36.0,16.0,83.0,0.30120481927710846,0.07228915662650602,0.43373493975903615,0.1927710843373494,1.7759613614599572,0.8879806807299786
son,lemma,10.0,11.0,40.0,19.0,80.0,0.125,0.1375,0.5,0.2375,1.761168403577281,0.8805842017886405
alors,word,3.0,4.0,12.0,4.0,23.0,0.13043478260869565,0.17391304347826086,0.5217391304347826,0.17391304347826086,1.750760325151911,0.8753801625759555
alors,lemma,3.0,4.0,12.0,4.0,23.0,0.13043478260869565,0.17391304347826086,0.5217391304347826,0.17391304347826086,1.750760325151911,0.8753801625759555
meme,lemma,3.0,2.0,10.0,7.0,22.0,0.13636363636363635,0.09090909090909091,0.45454545454545453,0.3181818181818182,1.74917466839001,0.874587334195005
bien,lemma,5.0,4.0,11.0,2.0,22.0,0.22727272727272727,0.18181818181818182,0.5,0.09090909090909091,1.7474594241169754,0.8737297120584877
bien,word,5.0,4.0,11.0,2.0,22.0,0.22727272727272727,0.18181818181818182,0.5,0.09090909090909091,1.7474594241169754,0.8737297120584877
en,word,7.0,5.0,20.0,6.0,38.0,0.18421052631578946,0.13157894736842105,0.5263157894736842,0.15789473684210525,1.7424153599984744,0.8712076799992372
laisse,lemma,1.0,2.0,6.0,4.0,13.0,0.07692307692307693,0.15384615384615385,0.46153846153846156,0.3076923076923077,1.7381493331928661,0.8690746665964331
ce,word,1.0,5.0,9.0,8.0,23.0,0.043478260869565216,0.21739130434782608,0.391304347826087,0.34782608695652173,1.7349112826910291,0.8674556413455146
vas,word,3.0,2.0,8.0,2.0,15.0,0.2,0.13333333333333333,0.5333333333333333,0.13333333333333333,1.7232314287976205,0.8616157143988102
me,lemma,4.0,4.0,11.0,2.0,21.0,0.19047619047619047,0.19047619047619047,0.5238095238095238,0.09523809523809523,1.72309133682589,0.861545668412945
paul,word,4.0,6.0,22.0,12.0,44.0,0.09090909090909091,0.13636363636363635,0.5,0.2727272727272727,1.7176856953872666,0.8588428476936333
ce,lemma,1.0,5.0,10.0,8.0,24.0,0.041666666666666664,0.20833333333333334,0.4166666666666667,0.3333333333333333,1.717090774749888,0.858545387374944
me,word,4.0,5.0,12.0,2.0,23.0,0.17391304347826086,0.21739130434782608,0.5217391304347826,0.08695652173913043,1.7135971524443743,0.8567985762221871
ca,lemma,4.0,3.0,12.0,3.0,22.0,0.18181818181818182,0.13636363636363635,0.5454545454545454,0.13636363636363635,1.708098663501806,0.854049331750903
ca,word,4.0,3.0,12.0,3.0,22.0,0.18181818181818182,0.13636363636363635,0.5454545454545454,0.13636363636363635,1.708098663501806,0.854049331750903
les,word,10.0,8.0,40.0,18.0,76.0,0.13157894736842105,0.10526315789473684,0.5263157894736842,0.23684210526315788,1.7064136348866152,0.8532068174433076
autre,lemma,5.0,1.0,10.0,5.0,21.0,0.23809523809523808,0.047619047619047616,0.47619047619047616,0.23809523809523808,1.7047668562193676,0.8523834281096838
je,word,11.0,6.0,35.0,12.0,64.0,0.171875,0.09375,0.546875,0.1875,1.6858128373271106,0.8429064186635553
je,lemma,11.0,6.0,35.0,12.0,64.0,0.171875,0.09375,0.546875,0.1875,1.6858128373271106,0.8429064186635553
paul,lemma,4.0,6.0,24.0,12.0,46.0,0.08695652173913043,0.13043478260869565,0.5217391304347826,0.2608695652173913,1.6851179336594355,0.8425589668297178
de,word,20.0,24.0,94.0,31.0,169.0,0.11834319526627218,0.14201183431952663,0.5562130177514792,0.1834319526627219,1.6837841724079476,0.8418920862039738
vous,word,8.0,16.0,54.0,23.0,101.0,0.07920792079207921,0.15841584158415842,0.5346534653465347,0.22772277227722773,1.6799357391266598,0.8399678695633299
bande,word,2.0,5.0,10.0,2.0,19.0,0.10526315789473684,0.2631578947368421,0.5263157894736842,0.10526315789473684,1.677984280637773,0.8389921403188865
c'est,word,3.0,6.0,16.0,4.0,29.0,0.10344827586206896,0.20689655172413793,0.5517241379310345,0.13793103448275862,1.6764409086968683,0.8382204543484342
cela,lemma,3.0,2.0,13.0,8.0,26.0,0.11538461538461539,0.07692307692307693,0.5,0.3076923076923077,1.6673395705257974,0.8336697852628987
vous,lemma,8.0,16.0,56.0,23.0,103.0,0.07766990291262135,0.1553398058252427,0.5436893203883495,0.22330097087378642,1.664618967721693,0.8323094838608465
veut,word,4.0,3.0,9.0,1.0,17.0,0.23529411764705882,0.17647058823529413,0.5294117647058824,0.058823529411764705,1.6589797521242051,0.8294898760621026
pas,lemma,16.0,16.0,71.0,21.0,124.0,0.12903225806451613,0.12903225806451613,0.5725806451612904,0.1693548387096774,1.6568518639095657,0.8284259319547829
pas,word,16.0,16.0,71.0,21.0,124.0,0.12903225806451613,0.12903225806451613,0.5725806451612904,0.1693548387096774,1.6568518639095657,0.8284259319547829
on,word,17.0,4.0,38.0,13.0,72.0,0.2361111111111111,0.05555555555555555,0.5277777777777778,0.18055555555555555,1.6558440271652817,0.8279220135826408
vouloir,lemma,5.0,3.0,16.0,4.0,28.0,0.17857142857142858,0.10714285714285714,0.5714285714285714,0.14285714285714285,1.6514789228933084,0.8257394614466542
en,lemma,7.0,8.0,33.0,9.0,57.0,0.12280701754385964,0.14035087719298245,0.5789473684210527,0.15789473684210525,1.6461213228276717,0.8230606614138358
voir,lemma,3.0,3.0,17.0,11.0,34.0,0.08823529411764706,0.08823529411764706,0.5,0.3235294117647059,1.6448042791740753,0.8224021395870377
est,word,2.0,2.0,11.0,9.0,24.0,0.08333333333333333,0.08333333333333333,0.4583333333333333,0.375,1.6440011333048612,0.8220005666524306
',punctuation,19.0,33.0,121.0,39.0,212.0,0.08962264150943396,0.15566037735849056,0.5707547169811321,0.18396226415094338,1.6407092897513562,0.8203546448756781
ne,word,2.0,1.0,8.0,4.0,15.0,0.13333333333333333,0.06666666666666667,0.5333333333333333,0.26666666666666666,1.640223928941852,0.820111964470926
ne,lemma,2.0,1.0,8.0,4.0,15.0,0.13333333333333333,0.06666666666666667,0.5333333333333333,0.26666666666666666,1.640223928941852,0.820111964470926
bon,word,3.0,2.0,11.0,3.0,19.0,0.15789473684210525,0.10526315789473684,0.5789473684210527,0.15789473684210525,1.6393210497942587,0.8196605248971294
bon,lemma,3.0,2.0,11.0,3.0,19.0,0.15789473684210525,0.10526315789473684,0.5789473684210527,0.15789473684210525,1.6393210497942587,0.8196605248971294
casser,lemma,1.0,3.0,10.0,5.0,19.0,0.05263157894736842,0.15789473684210525,0.5263157894736842,0.2631578947368421,1.6382533594712747,0.8191266797356374
pour,word,6.0,3.0,19.0,5.0,33.0,0.18181818181818182,0.09090909090909091,0.5757575757575758,0.15151515151515152,1.6327297031052612,0.8163648515526306
pour,lemma,6.0,3.0,19.0,5.0,33.0,0.18181818181818182,0.09090909090909091,0.5757575757575758,0.15151515151515152,1.6327297031052612,0.8163648515526306
de,lemma,20.0,26.0,117.0,41.0,204.0,0.09803921568627451,0.12745098039215685,0.5735294117647058,0.20098039215686275,1.632512111824361,0.8162560559121805
il,lemma,3.0,6.0,25.0,13.0,47.0,0.06382978723404255,0.1276595744680851,0.5319148936170213,0.2765957446808511,1.6297636689820476,0.8148818344910238
on,lemma,18.0,4.0,45.0,15.0,82.0,0.21951219512195122,0.04878048780487805,0.5487804878048781,0.18292682926829268,1.6161447083385134,0.8080723541692567
negre,lemma,3.0,0.0,3.0,3.0,9.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.584962500721156,0.792481250360578
repostez,word,3.0,0.0,3.0,3.0,9.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.584962500721156,0.792481250360578
reposter,lemma,3.0,0.0,3.0,3.0,9.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.584962500721156,0.792481250360578
réconforter,word,2.0,0.0,2.0,2.0,6.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.584962500721156,0.792481250360578
réconforter,lemma,2.0,0.0,2.0,2.0,6.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.584962500721156,0.792481250360578
remettre,lemma,2.0,2.0,0.0,2.0,6.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.584962500721156,0.792481250360578
story,lemma,3.0,0.0,3.0,3.0,9.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.584962500721156,0.792481250360578
story,word,3.0,0.0,3.0,3.0,9.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.584962500721156,0.792481250360578
negre,word,3.0,0.0,3.0,3.0,9.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.584962500721156,0.792481250360578
oyé,word,3.0,0.0,3.0,3.0,9.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.584962500721156,0.792481250360578
oyer,lemma,3.0,0.0,3.0,3.0,9.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.584962500721156,0.792481250360578
tu,lemma,14.0,10.0,57.0,12.0,93.0,0.15053763440860216,0.10752688172043011,0.6129032258064516,0.12903225806451613,1.57123912644433,0.785619563222165
avec,word,2.0,4.0,12.0,2.0,20.0,0.1,0.2,0.6,0.1,1.5709505944546687,0.7854752972273343
avec,lemma,2.0,4.0,12.0,2.0,20.0,0.1,0.2,0.6,0.1,1.5709505944546687,0.7854752972273343
ça,word,3.0,2.0,17.0,8.0,30.0,0.1,0.06666666666666667,0.5666666666666667,0.26666666666666666,1.565498735494544,0.782749367747272
tout,word,0.0,2.0,3.0,3.0,8.0,0.0,0.25,0.375,0.375,1.561278124459133,0.7806390622295665
trop,lemma,0.0,3.0,2.0,2.0,7.0,0.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,1.5566567074628228,0.7783283537314114
trop,word,0.0,3.0,2.0,2.0,7.0,0.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,1.5566567074628228,0.7783283537314114
eter,lemma,0.0,3.0,2.0,2.0,7.0,0.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,1.5566567074628228,0.7783283537314114
etait,word,0.0,3.0,2.0,2.0,7.0,0.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,1.5566567074628228,0.7783283537314114
être,lemma,8.0,14.0,74.0,31.0,127.0,0.06299212598425197,0.11023622047244094,0.5826771653543307,0.2440944881889764,1.5526011939584505,0.7763005969792253
juste,lemma,1.0,1.0,7.0,3.0,12.0,0.08333333333333333,0.08333333333333333,0.5833333333333334,0.25,1.5510981710072647,0.7755490855036323
juste,word,1.0,1.0,7.0,3.0,12.0,0.08333333333333333,0.08333333333333333,0.5833333333333334,0.25,1.5510981710072647,0.7755490855036323
allez,word,3.0,1.0,7.0,1.0,12.0,0.25,0.08333333333333333,0.5833333333333334,0.08333333333333333,1.5510981710072647,0.7755490855036323
tout,lemma,3.0,2.0,19.0,12.0,36.0,0.08333333333333333,0.05555555555555555,0.5277777777777778,0.3333333333333333,1.5453399940466048,0.7726699970233024
le,lemma,33.0,18.0,168.0,61.0,280.0,0.11785714285714285,0.06428571428571428,0.6,0.21785714285714286,1.5392545862915439,0.7696272931457719
a,word,12.0,5.0,51.0,16.0,84.0,0.14285714285714285,0.05952380952380952,0.6071428571428571,0.19047619047619047,1.5360926260687964,0.7680463130343982
mec,lemma,0.0,3.0,2.0,4.0,9.0,0.0,0.3333333333333333,0.2222222222222222,0.4444444444444444,1.5304930567574826,0.7652465283787413
mec,word,0.0,3.0,2.0,4.0,9.0,0.0,0.3333333333333333,0.2222222222222222,0.4444444444444444,1.5304930567574826,0.7652465283787413
tomber,lemma,0.0,1.0,2.0,2.0,5.0,0.0,0.2,0.4,0.4,1.5219280948873621,0.7609640474436811
tomber,word,0.0,1.0,2.0,2.0,5.0,0.0,0.2,0.4,0.4,1.5219280948873621,0.7609640474436811
peut,word,2.0,0.0,2.0,1.0,5.0,0.4,0.0,0.4,0.2,1.5219280948873621,0.7609640474436811
dire,word,2.0,0.0,2.0,1.0,5.0,0.4,0.0,0.4,0.2,1.5219280948873621,0.7609640474436811
rire,lemma,0.0,2.0,1.0,2.0,5.0,0.0,0.4,0.2,0.4,1.5219280948873621,0.7609640474436811
n'est,word,1.0,2.0,0.0,2.0,5.0,0.2,0.4,0.0,0.4,1.5219280948873621,0.7609640474436811
sont,word,0.0,1.0,2.0,2.0,5.0,0.0,0.2,0.4,0.4,1.5219280948873621,0.7609640474436811
devoir,word,2.0,2.0,1.0,0.0,5.0,0.4,0.4,0.2,0.0,1.5219280948873621,0.7609640474436811
sortir,word,0.0,1.0,2.0,2.0,5.0,0.0,0.2,0.4,0.4,1.5219280948873621,0.7609640474436811
sortir,lemma,0.0,1.0,2.0,2.0,5.0,0.0,0.2,0.4,0.4,1.5219280948873621,0.7609640474436811
la,word,20.0,9.0,96.0,33.0,158.0,0.12658227848101267,0.056962025316455694,0.6075949367088608,0.2088607594936709,1.5215700335012294,0.7607850167506147
mais,lemma,9.0,15.0,65.0,13.0,102.0,0.08823529411764706,0.14705882352941177,0.6372549019607843,0.12745098039215685,1.5087752622676491,0.7543876311338246
mais,word,9.0,15.0,65.0,13.0,102.0,0.08823529411764706,0.14705882352941177,0.6372549019607843,0.12745098039215685,1.5087752622676491,0.7543876311338246
comme,word,1.0,4.0,17.0,7.0,29.0,0.034482758620689655,0.13793103448275862,0.5862068965517241,0.2413793103448276,1.5083826242427791,0.7541913121213896
comme,lemma,1.0,4.0,17.0,7.0,29.0,0.034482758620689655,0.13793103448275862,0.5862068965517241,0.2413793103448276,1.5083826242427791,0.7541913121213896
autre,word,2.0,0.0,4.0,2.0,8.0,0.25,0.0,0.5,0.25,1.5,0.75
aimer,lemma,0.0,3.0,6.0,3.0,12.0,0.0,0.25,0.5,0.25,1.5,0.75
savoir,lemma,0.0,3.0,7.0,4.0,14.0,0.0,0.21428571428571427,0.5,0.2857142857142857,1.4926140680171258,0.7463070340085629
mon,word,1.0,1.0,7.0,2.0,11.0,0.09090909090909091,0.09090909090909091,0.6363636363636364,0.18181818181818182,1.4911148500551854,0.7455574250275927
tu,word,14.0,13.0,80.0,15.0,122.0,0.11475409836065574,0.10655737704918032,0.6557377049180327,0.12295081967213115,1.47363658535176,0.73681829267588
mérite,lemma,0.0,2.0,5.0,6.0,13.0,0.0,0.15384615384615385,0.38461538461538464,0.46153846153846156,1.4604846813131116,0.7302423406565558
mérite,word,0.0,2.0,5.0,6.0,13.0,0.0,0.15384615384615385,0.38461538461538464,0.46153846153846156,1.4604846813131116,0.7302423406565558
insulte,word,3.0,2.0,1.0,0.0,6.0,0.5,0.3333333333333333,0.16666666666666666,0.0,1.4591479170272448,0.7295739585136224
faut,word,0.0,3.0,2.0,1.0,6.0,0.0,0.5,0.3333333333333333,0.16666666666666666,1.4591479170272448,0.7295739585136224
qu'elle,word,0.0,2.0,3.0,1.0,6.0,0.0,0.3333333333333333,0.5,0.16666666666666666,1.4591479170272448,0.7295739585136224
t'ai,word,0.0,1.0,3.0,2.0,6.0,0.0,0.16666666666666666,0.5,0.3333333333333333,1.4591479170272446,0.7295739585136223
sort,word,1.0,0.0,3.0,2.0,6.0,0.16666666666666666,0.0,0.5,0.3333333333333333,1.4591479170272446,0.7295739585136223
rire,word,0.0,3.0,1.0,2.0,6.0,0.0,0.5,0.16666666666666666,0.3333333333333333,1.4591479170272446,0.7295739585136223
sort,lemma,1.0,0.0,3.0,2.0,6.0,0.16666666666666666,0.0,0.5,0.3333333333333333,1.4591479170272446,0.7295739585136223
dire,lemma,4.0,1.0,18.0,6.0,29.0,0.13793103448275862,0.034482758620689655,0.6206896551724138,0.20689655172413793,1.4590697871865872,0.7295348935932936
avoir,lemma,16.0,8.0,83.0,21.0,128.0,0.125,0.0625,0.6484375,0.1640625,1.458070791561338,0.729035395780669
falloir,lemma,0.0,3.0,3.0,1.0,7.0,0.0,0.42857142857142855,0.42857142857142855,0.14285714285714285,1.4488156357251847,0.7244078178625923
pourquoi,lemma,1.0,0.0,3.0,3.0,7.0,0.14285714285714285,0.0,0.42857142857142855,0.42857142857142855,1.4488156357251847,0.7244078178625923
chose,word,1.0,0.0,3.0,3.0,7.0,0.14285714285714285,0.0,0.42857142857142855,0.42857142857142855,1.4488156357251847,0.7244078178625923
pourquoi,word,1.0,0.0,3.0,3.0,7.0,0.14285714285714285,0.0,0.42857142857142855,0.42857142857142855,1.4488156357251847,0.7244078178625923
c,word,2.0,5.0,30.0,11.0,48.0,0.041666666666666664,0.10416666666666667,0.625,0.22916666666666666,1.4418352893106845,0.7209176446553422
c,lemma,2.0,5.0,30.0,11.0,48.0,0.041666666666666664,0.10416666666666667,0.625,0.22916666666666666,1.4418352893106845,0.7209176446553422
frr,lemma,0.0,2.0,5.0,2.0,9.0,0.0,0.2222222222222222,0.5555555555555556,0.2222222222222222,1.4355205042826666,0.7177602521413333
frr,word,0.0,2.0,5.0,2.0,9.0,0.0,0.2222222222222222,0.5555555555555556,0.2222222222222222,1.4355205042826666,0.7177602521413333
