marker_value,marker_type,Colere,Degout,Joie,Peur,Surprise,Tristesse,Admiration,Culpabilite,Embarras,Fierte,Jalousie,total_count,P(Colere),P(Degout),P(Joie),P(Peur),P(Surprise),P(Tristesse),P(Admiration),P(Culpabilite),P(Embarras),P(Fierte),P(Jalousie),entropy,normalized_entropy
voir,word,6.0,1.0,2.0,2.0,0.0,2.0,0,0.0,0.0,0.0,0.0,13.0,0.46153846153846156,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,2.045841640885174,0.5913808585963756
bien,word,7.0,1.0,4.0,0.0,0.0,2.0,0,0.0,0.0,1.0,0.0,15.0,0.4666666666666667,0.06666666666666667,0.26666666666666666,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.06666666666666667,0.0,1.93012496531497,0.5579312378705911
bien,lemma,7.0,1.0,4.0,0.0,0.0,2.0,0,0.0,0.0,1.0,0.0,15.0,0.4666666666666667,0.06666666666666667,0.26666666666666666,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.06666666666666667,0.0,1.93012496531497,0.5579312378705911
sa,word,25.0,20.0,8.0,0.0,0.0,2.0,0,0.0,6.0,0.0,0.0,61.0,0.4098360655737705,0.32786885245901637,0.13114754098360656,0.0,0.0,0.03278688524590164,0.0,0.0,0.09836065573770492,0.0,0.0,1.9300038679490783,0.5578962328815521
mes,word,1.0,2.0,2.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9182958340544893,0.5545118520972888
tout,lemma,13.0,9.0,1.0,1.0,0.0,3.0,0,0.0,0.0,1.0,0.0,28.0,0.4642857142857143,0.32142857142857145,0.03571428571428571,0.03571428571428571,0.0,0.10714285714285714,0.0,0.0,0.0,0.03571428571428571,0.0,1.9005717488083727,0.5493884424739767
être,lemma,75.0,21.0,10.0,3.0,0.0,16.0,0,0.0,0.0,5.0,1.0,131.0,0.5725190839694656,0.16030534351145037,0.07633587786259542,0.022900763358778626,0.0,0.12213740458015267,0.0,0.0,0.0,0.03816793893129771,0.007633587786259542,1.8961415008426492,0.5481078136152197
non,word,5.0,3.0,2.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,12.0,0.4166666666666667,0.25,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,1.8879185026711327,0.5457308340769579
non,lemma,5.0,3.0,2.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,12.0,0.4166666666666667,0.25,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,1.8879185026711327,0.5457308340769579
son,lemma,35.0,29.0,12.0,0.0,0.0,2.0,0,0.0,6.0,0.0,0.0,84.0,0.4166666666666667,0.34523809523809523,0.14285714285714285,0.0,0.0,0.023809523809523808,0.0,0.0,0.07142857142857142,0.0,0.0,1.8573688577221625,0.5369000062657107
suis,word,4.0,0.0,0.0,2.0,0.0,2.0,0,0.0,0.0,1.0,0.0,9.0,0.4444444444444444,0.0,0.0,0.2222222222222222,0.0,0.2222222222222222,0.0,0.0,0.0,0.1111111111111111,0.0,1.836591668108979,0.5308940515588019
