marker_value,marker_type,Comportementale,Designee,Montree,Suggeree,total_count,P(Comportementale),P(Designee),P(Montree),P(Suggeree),entropy,normalized_entropy
devoir,lemma,2.0,2.0,2.0,1.0,7.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,1.950212064914747,0.9751060324573735
place,lemma,2.0,1.0,2.0,2.0,7.0,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.2857142857142857,1.9502120649147465,0.9751060324573733
place,word,2.0,1.0,2.0,2.0,7.0,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.2857142857142857,1.9502120649147465,0.9751060324573733
casser,word,1.0,2.0,1.0,2.0,6.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,1.9182958340544896,0.9591479170272448
casser,lemma,1.0,2.0,1.0,2.0,6.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,1.9182958340544896,0.9591479170272448
arabe,lemma,2.0,1.0,3.0,2.0,8.0,0.25,0.125,0.375,0.25,1.9056390622295665,0.9528195311147832
alors,lemma,2.0,2.0,5.0,3.0,12.0,0.16666666666666666,0.16666666666666666,0.4166666666666667,0.25,1.8879185026711327,0.9439592513355664
alors,word,2.0,2.0,5.0,3.0,12.0,0.16666666666666666,0.16666666666666666,0.4166666666666667,0.25,1.8879185026711327,0.9439592513355664
sa,word,12.0,9.0,25.0,13.0,59.0,0.2033898305084746,0.15254237288135594,0.423728813559322,0.22033898305084745,1.8868634544154512,0.9434317272077256
va,word,15.0,5.0,13.0,8.0,41.0,0.36585365853658536,0.12195121951219512,0.3170731707317073,0.1951219512195122,1.8863638157303084,0.9431819078651542
en,lemma,8.0,4.0,14.0,9.0,35.0,0.22857142857142856,0.11428571428571428,0.4,0.2571428571428571,1.8769317620367585,0.9384658810183792
elle,word,7.0,2.0,8.0,6.0,23.0,0.30434782608695654,0.08695652173913043,0.34782608695652173,0.2608695652173913,1.8643767621991798,0.9321883810995899
en,word,8.0,4.0,14.0,7.0,33.0,0.24242424242424243,0.12121212121212122,0.42424242424242425,0.21212121212121213,1.8639561386551295,0.9319780693275648
mec,word,1.0,3.0,2.0,4.0,10.0,0.1,0.3,0.2,0.4,1.8464393446710154,0.9232196723355077
mec,lemma,1.0,3.0,2.0,4.0,10.0,0.1,0.3,0.2,0.4,1.8464393446710154,0.9232196723355077
ici,word,2.0,1.0,3.0,1.0,7.0,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.14285714285714285,1.8423709931771084,0.9211854965885542
ici,lemma,2.0,1.0,3.0,1.0,7.0,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.14285714285714285,1.8423709931771084,0.9211854965885542
voir,word,3.0,2.0,6.0,2.0,13.0,0.23076923076923078,0.15384615384615385,0.46153846153846156,0.15384615384615385,1.8339272176418302,0.9169636088209151
soi,lemma,4.0,1.0,5.0,5.0,15.0,0.26666666666666666,0.06666666666666667,0.3333333333333333,0.3333333333333333,1.8256051990169437,0.9128025995084719
